bitcoin-marketcap_raw,difficulty-btc-trx-14,difficulty-btc-trx-30,difficulty-btc-trx-90,difficulty-btc-rsi-30,difficulty-btc-rsi-90,difficulty-btc-roc-30,hashrate-btc-sma-90,hashrate-btc-std-90,hashrate-btc-var-30,hashrate-btc-var-90,hashrate-btc-trx-30,hashrate-btc-trx-90,mining_profitability-btc-sma-3,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-wma-90,mining_profitability-btc-std-14,mining_profitability-btc-var-14,mining_profitability-btc-trx-90,sentinusd-btc-ema-30,transactionfees-btc-sma-90,transactionfees-btc-ema-90,transactionfees-btc-std-90,transactionfees-btc-var-90,median_transaction_fee-btc-wma-30,median_transaction_fee-btc-std-14,median_transaction_fee-btc-trx-90,confirmationtime-btc-sma-90,confirmationtime-btc-wma-90,confirmationtime-btc-trx-90,marketcap-btc-wma-90,marketcap-btc-rsi-90,transactionvalue-btc-ema-30,transactionvalue-btc-std-30,transactionvalue-btc-std-90,transactionvalue-btc-var-30,transactionvalue-btc-var-90,transactionvalue-btc-trx-90,mediantransactionvalue-btc-sma-30,mediantransactionvalue-btc-var-90,mediantransactionvalue-btc-trx-30,fee_to_reward-btc-std-90,fee_to_reward-btc-var-90,transactions-btc-sma-30,transactions-btc-sma-90,transactions-btc-std-90,transactions-btc-var-90,sentbyaddress-btc-ema-30,sentbyaddress-btc-wma-30,top100cap-btc-sma-90,top100cap-btc-trx-90,activeaddresses-btc-sma-90
6732346505,0.957,0.795,0.301,99.993,99.088,31.324,5.963958452220157e+17,2.690125751330468e+17,5.8976651523262e+33,1.8091941394928e+34,0.811,0.365,2.164,2.379,2.497,2.462,0.258,0.017,-0.025,832039176,0.066,0.068,0.022,0.001,0.044,0.002,0.279,9.25,9.125,-0.047,6007851143,60.989,5013,6132.0,6117.0,9401180,9354867,0.667,161.446,3221.0,0.209,0.26,0.017,188253,170108,54441,740954933,281637,278409,19.821,-0.015,359696
6709609259,0.921,0.798,0.307,99.993,99.088,31.324,6.012524225636215e+17,2.7400397440303046e+17,5.779801281966e+33,1.8769544497164e+34,0.816,0.37,2.193,2.366,2.497,2.454,0.236,0.014,-0.025,810038173,0.067,0.068,0.022,0.001,0.044,0.002,0.282,9.239,9.108,-0.047,6034743980,60.818,4878,5844.0,6119.0,8537995,9359311,0.658,156.564,3222.0,0.129,0.26,0.017,188417,170696,54349,738448332,283194,279496,19.813,-0.016,360973
6455051806,0.899,0.802,0.312,99.995,99.233,39.416,6.058729908797316e+17,2.7946389760664272e+17,6.0153152646396e+33,1.9525017516374e+34,0.821,0.376,2.023,2.318,2.493,2.439,0.284,0.02,-0.026,791895387,0.067,0.068,0.022,0.001,0.044,0.002,0.286,9.251,9.119,-0.047,6055297192,58.944,4770,5775.0,6121.0,8338778,9365505,0.648,153.292,3224.0,0.056,0.26,0.017,186974,171081,54342,738269526,283498,279417,19.804,-0.016,361158
6484300270,0.891,0.808,0.317,99.996,99.287,43.301,6.089869234230516e+17,2.798515186880876e+17,6.0077849476575e+33,1.9579218128007e+34,0.821,0.381,1.951,2.288,2.492,2.426,0.302,0.023,-0.026,770601962,0.067,0.068,0.022,0.001,0.044,0.002,0.289,9.26,9.154,-0.047,6075825764,59.09,4648,5726.0,6129.0,8197127,9390350,0.638,150.323,3223.0,-0.01,0.263,0.017,185615,171524,54074,730991450,284035,279695,19.795,-0.016,361941
6088222786,0.891,0.813,0.323,99.996,99.287,43.301,6.123175516990231e+17,2.7773401623317005e+17,5.9153165422426e+33,1.9284045943252e+34,0.814,0.386,1.814,2.256,2.487,2.409,0.358,0.032,-0.027,760980973,0.068,0.069,0.022,0.001,0.044,0.003,0.292,9.273,9.209,-0.047,6086995626,56.338,4594,5583.0,6118.0,7793426,9355986,0.628,147.084,3198.0,-0.07,0.275,0.019,184391,172055,53595,718108924,284078,279616,19.786,-0.017,362245
5597287391,0.893,0.818,0.328,99.996,99.287,43.301,6.161112998625372e+17,2.7670717397243686e+17,5.1012524049895e+33,1.9141715031953e+34,0.803,0.391,1.796,2.218,2.48,2.393,0.388,0.038,-0.028,744400717,0.068,0.069,0.021,0.001,0.043,0.004,0.295,9.276,9.228,-0.047,6086847540,53.231,4482,5502.0,6107.0,7567778,9324430,0.617,141.851,3205.0,-0.132,0.275,0.019,183558,172850,52570,690913387,287048,282558,19.778,-0.017,363751
5796304260,0.894,0.823,0.334,99.996,99.287,39.849,6.193951643361083e+17,2.7741725636587696e+17,4.6239363994022e+33,1.9240083532393e+34,0.791,0.395,1.785,2.181,2.476,2.38,0.398,0.04,-0.03,950856214,0.068,0.069,0.021,0.001,0.043,0.005,0.297,9.285,9.234,-0.046,6090645394,54.265,5452,7443.0,6742.0,13848872,11362786,0.611,136.27,3243.0,-0.195,0.277,0.019,183235,173519,52606,691857516,291239,286882,19.77,-0.017,365349
5776110396,0.891,0.828,0.339,99.996,99.287,21.301,6.256291946465156e+17,2.8502786775329427e+17,5.9424398126956e+33,2.0310221348997e+34,0.786,0.4,1.768,2.154,2.473,2.362,0.407,0.041,-0.031,1120051636,0.068,0.069,0.021,0.001,0.042,0.005,0.299,9.252,9.213,-0.046,6093519637,54.142,6194,8443.0,7111.0,17821812,12643242,0.608,134.265,3259.0,-0.255,0.275,0.019,183235,174269,52952,700983061,293429,289390,19.762,-0.017,366037
5784894313,0.884,0.831,0.345,99.996,99.287,21.301,6.304055985115049e+17,2.849784081911534e+17,6.0139227386256e+33,2.0303173283791e+34,0.78,0.405,1.7,2.123,2.463,2.342,0.472,0.056,-0.033,1262236259,0.068,0.069,0.021,0.001,0.042,0.006,0.301,9.261,9.248,-0.045,6096129432,54.188,6960,9456.0,7518.0,22352038,14129666,0.608,130.868,3252.0,-0.307,0.287,0.021,183003,174676,52765,696026436,292766,289238,19.754,-0.018,366560
5929003372,0.872,0.833,0.351,99.996,99.287,21.301,6.343641880312404e+17,2.86252814014378e+17,6.00288543823e+33,2.0485168382788e+34,0.772,0.409,1.679,2.11,2.46,2.327,0.475,0.056,-0.035,1278375877,0.069,0.069,0.021,0.001,0.042,0.006,0.302,9.259,9.252,-0.045,6101444540,54.931,6992,9348.0,7492.0,21846265,14033252,0.608,126.057,3261.0,-0.355,0.3,0.022,182324,175361,52924,700230093,296843,293836,19.747,-0.018,369427
