Date,bitcoin-difficulty_raw,difficulty-btc-sma-3,difficulty-btc-sma-7,difficulty-btc-sma-14,difficulty-btc-sma-30,difficulty-btc-sma-90,difficulty-btc-ema-3,difficulty-btc-ema-7,difficulty-btc-ema-14,difficulty-btc-ema-30,difficulty-btc-ema-90,difficulty-btc-wma-3,difficulty-btc-wma-7,difficulty-btc-wma-14,difficulty-btc-wma-30,difficulty-btc-wma-90,difficulty-btc-var-90,hashrate-btc-sma-7,hashrate-btc-sma-14,hashrate-btc-sma-30,hashrate-btc-sma-90,hashrate-btc-ema-14,hashrate-btc-ema-30,hashrate-btc-ema-90,hashrate-btc-wma-14,hashrate-btc-wma-30,hashrate-btc-wma-90,hashrate-btc-std-90,hashrate-btc-var-90,hashrate-btc-trx-90,mining_profitability-btc-sma-90,mining_profitability-btc-std-90,transactionfees-btc-trx-90,marketcap-btc-sma-90,marketcap-btc-ema-90,marketcap-btc-wma-90,fee_to_reward-btc-sma-90,transactions-btc-sma-90,sentbyaddress-btc-sma-30,sentbyaddress-btc-ema-30,sentbyaddress-btc-wma-30,top100cap-btc-sma-30,top100cap-btc-sma-90,top100cap-btc-ema-90,top100cap-btc-wma-90,price-btc-sma-90,price-btc-ema-90,price-btc-wma-90,bitcoin-price_raw_1d,bitcoin-price_raw_7d,bitcoin-price_raw_30d,bitcoin-price_raw_90d
2013-04-21,8974296,8974296,8468780,8070890,7314210,4930717,8904367,8581897,8138533,7321185,5572717,8974296,8734584,8327453,7792340,5930837,3424062565708.0,67302308871163.0,65993360293655.0,60968235219997.0,41118194853750.0,65572199228427.0,60317151119677.0,46025946783271.0,66731759618579.0,63809760251770.0,49833987092330.0,31938321690919.0,2.5501409810816e+26,0.613,5147.0,4161.0,1.886,608275600,734719723,827577593,1.263,55570,57937,56472,59813,19.973,19.564,19.735,19.722,55.606,67.01,75.411,113.535,124.045,115.28,83.858
2013-04-22,8974296,8974296,8654679,8163840,7451765,4994325,8939332,8679996,8249968,7427838,5647477,8974296,8860963,8447907,7899442,6019707,3570285563842.0,68805013535478.0,66648016392660.0,61639328267843.0,41682636384017.0,66497681858713.0,61104000657476.0,46608086831014.0,67601087440168.0,64554604363742.0,50523989819842.0,32339662703921.0,2.6146344595084e+26,0.624,5183.0,4135.0,1.898,620254784,746176043,841812905,1.266,55608,58306,56314,59560,20.012,19.578,19.752,19.743,56.683,68.033,76.684,120.78,130.56,116.686,83.889
2013-04-23,8974296,8974296,8840579,8256789,7564873,5058627,8956814,8753571,8346545,7527609,5720594,8974296,8940867,8555968,7997670,6107179,3705865399816.0,69503618783246.0,67207534188856.0,62062037608891.0,42253491950516.0,67357310000562.0,61867929190709.0,47186917734126.0,68440670977491.0,65283995631790.0,51211072381129.0,32710927177535.0,2.675011892035e+26,0.635,5234.0,4114.0,1.909,633083834,759152350,857556712,1.267,55775,58773,56771,59889,20.05,19.592,19.769,19.764,57.836,69.192,78.093,134.8,134.465,118.696,84.1
2013-04-24,8974296,8974296,8974296,8349739,7640822,5125355,8965555,8808753,8430245,7620944,5792104,8974296,8974296,8651635,8088601,6193238,3823245990120.0,70441725193025.0,67494166971824.0,62799196553838.0,42842329461695.0,68272250374204.0,62664795875365.0,47781037405966.0,69375581459360.0,66068339192692.0,51913618993269.0,33081366474090.0,2.7359420194826e+26,0.647,5282.0,4117.0,1.92,647652576,775265813,876440912,1.271,55983,59377,57197,60185,20.079,19.605,19.781,19.78,59.145,70.634,79.784,139.74,124.662,124.605,85.24
2013-04-25,8974296,8974296,8974296,8442689,7716771,5192083,8969925,8850138,8502785,7708257,5862042,8974296,8974296,8734910,8174631,6277830,3931721326432.0,70329133468860.0,67885327715151.0,63503455441715.0,43396241944841.0,68684354192939.0,63225972206936.0,48299322935829.0,69891429731746.0,66620844512749.0,52540447554874.0,33302829454661.0,2.7726961242155e+26,0.658,5347.0,4136.0,1.93,662848016,792239522,896219307,1.273,56139,59844,57549,60397,20.105,19.618,19.794,19.797,60.511,72.153,81.556,132.945,111.049,127.725,86.425
2013-04-26,8974296,8974296,8974296,8535639,7792720,5258811,8972111,8881178,8565653,7789937,5930443,8974296,8974296,8805791,8255762,6360955,4031291408750.0,73078054060827.0,68990539268645.0,64618876885426.0,44044234458725.0,70081272497290.0,64254054095235.0,48977606859779.0,71394884899802.0,67631024256869.0,53326491500604.0,33788171611319.0,2.8541013520898e+26,0.669,5391.0,4131.0,1.937,677172306,807198731,914022285,1.27,56171,60101,57605,60305,20.13,19.63,19.808,19.814,61.797,73.489,83.147,126.316,102.694,128.75,87.875
2013-04-27,8974296,8974296,8974296,8628588,7868669,5325539,8973203,8904457,8620139,7866347,5997341,8974296,8974296,8864278,8331993,6442615,4121956237076.0,74246985621822.0,69707207298615.0,65267722170458.0,44602209930364.0,70463265997353.0,64814839234108.0,49504389648526.0,71922309497017.0,68168272441535.0,53961700056407.0,34019506425942.0,2.8933170436618e+26,0.68,5430.0,4103.0,1.944,690671853,820227040,929908318,1.268,56049,59765,56868,59407,20.145,19.639,19.816,19.826,63.009,74.65,84.565,124.045,105.04,128.355,89.193
2013-04-28,8974296,8974296,8974296,8721538,7944618,5392267,8973750,8921917,8667360,7937828,6062769,8974296,8974296,8910373,8403323,6522807,4203715811408.0,73470112814186.0,70386210842675.0,65670122249032.0,45142943540579.0,70553859968403.0,65223089656438.0,49979957365706.0,72113711294565.0,68547304609908.0,54545007987173.0,34142445646268.0,2.9142664867709e+26,0.69,5484.0,4097.0,1.947,703845028,832425846,944954491,1.263,55934,59360,56122,58474,20.156,19.648,19.824,19.838,64.19,75.736,85.907,130.56,113.464,125.725,88.506
2013-04-29,8974296,8974296,8974296,8814488,8020567,5458995,8974023,8935012,8708285,8004697,6126759,8974296,8974296,8944074,8469754,6601533,4276570131748.0,74399183364794.0,71602098450136.0,66367077934285.0,45772028439110.0,71682253680592.0,66113007279237.0,50618130012830.0,73264458223519.0,69408381420281.0,55289488630454.0,34527245892562.0,2.9803267723135e+26,0.701,5528.0,4088.0,1.95,717728148,845956739,961311336,1.261,55934,59450,56013,58156,20.159,19.655,19.829,19.847,65.435,76.94,87.366,134.465,113.005,126.43,88.353
2013-04-30,9854414,9267669,9100027,8970303,8125854,5535502,9414219,9164862,8861102,8124033,6208685,9414355,9194326,9082731,8588067,6698136,4416478161259.0,75307959302188.0,72405789042717.0,67192172899045.0,46401006908701.0,72698796454425.0,66964189034405.0,51248639781434.0,74291688361412.0,70243171520285.0,56026506125953.0,34883607116122.0,3.04216511358e+26,0.711,5563.0,4062.0,1.952,732046276,860154886,978327694,1.265,56005,59611,55258,57179,20.168,19.662,19.835,19.857,66.718,78.205,88.883,124.662,110.375,127.245,91.241
