bitcoin-marketcap_raw,bitcoin-price_raw,bitcoin-median_transaction_fee_raw,bitcoin-hashrate_raw,difficulty-btc-std-30,mining_profitability-btc-sma-7,mining_profitability-btc-ema-14,marketcap-btc-ema-3,marketcap-btc-wma-3,price-btc-sma-3,price-btc-ema-3,price-btc-wma-3
988326452,86.483,0.0432,227686313934710.0,5378296,1692.0,1780.0,1001395014,1003346774,88.394,87.66,87.821
958436879,83.838,0.0419,219223020492820.0,5498821,1720.0,1762.0,979915946,977679095,86.365,85.749,85.542
959018294,83.858,0.0419,238364784765550.0,5579795,1693.0,1746.0,969467120,963709182,84.726,84.803,84.289
959762900,83.889,0.0419,242288390096080.0,5622927,1693.0,1744.0,964615010,959293694,83.861,84.346,83.87
962601055,84.1,0.0421,261590929856980.0,5720734,1642.0,1690.0,963608033,961057877,83.949,84.223,83.989
976001008,85.24,0.0426,240621976999110.0,6312043,1579.0,1632.0,969804520,968828006,84.409,84.731,84.635
989868221,86.425,0.0432,223403523547050.0,6759768,1529.0,1621.0,979836371,980701289,85.255,85.578,85.642
1006830914,87.875,0.0439,237779083275740.0,7091160,1503.0,1587.0,993333642,996038365,86.513,86.726,86.952
1022257500,89.193,0.0446,253261431511520.0,7322030,1476.0,1569.0,1007795571,1011717091,87.831,87.96,88.292
1014742115,88.506,0.0443,260395922704330.0,7461716,1462.0,1566.0,1011268843,1015928709,88.525,88.233,88.63
1013386414,88.353,0.0442,281510081241740.0,7515303,1405.0,1534.0,1012327628,1015316828,88.684,88.293,88.544
1046894436,91.241,0.0456,255177352423220.0,7571808,1442.0,1543.0,1029611032,1030366375,89.366,89.767,89.822
1068070730,93.05,0.0465,289559865645580.0,7661649,1491.0,1550.0,1048840881,1051897913,90.881,91.408,91.664
1102404988,96.0,0.048,301308886573330.0,7693793,1488.0,1547.0,1075622934,1081708477,93.43,93.704,94.223
1101424971,95.875,0.0479,297265723259000.0,7668966,1499.0,1533.0,1088523953,1096192603,94.975,94.79,95.446
1097482045,95.495,0.0477,286195205527560.0,7586607,1522.0,1543.0,1093002999,1099616844,95.79,95.142,95.706
1096520497,95.372,0.0477,320683138756740.0,7718281,1482.0,1507.0,1094761748,1097658425,95.58,95.257,95.497
1087488754,94.551,0.0473,315477140937030.0,8184913,1486.0,1486.0,1091125251,1092164884,95.139,94.904,94.982
1098370902,95.46,0.0477,353738159657050.0,8492458,1440.0,1459.0,1094748076,1094435118,95.127,95.182,95.142
1115305431,96.892,0.0484,340162511358290.0,8657883,1407.0,1446.0,1105026753,1105024475,95.634,96.037,96.024
1121500417,97.39,0.0487,351001430588620.0,8689311,1374.0,1427.0,1113263585,1115580502,96.581,96.713,96.902
1105151053,95.932,0.048,357489385481420.0,8588212,1367.0,1422.0,1109207319,1112293237,96.738,96.322,96.578
1085438790,94.179,0.0471,393335210620000.0,8349774,1305.0,1389.0,1097323054,1098019815,95.833,95.25,95.298
1076702567,93.381,0.0467,367548784571950.0,8525812,1315.0,1383.0,1087012811,1084356056,94.497,94.316,94.072
1073236154,93.038,0.0465,398696674024360.0,8637414,1303.0,1367.0,1080124483,1076425398,93.532,93.677,93.342
1084713918,93.989,0.047,413089975789620.0,8683283,1296.0,1350.0,1082419200,1079552771,93.469,93.833,93.571
1096173086,94.938,0.0475,386349408081800.0,8902764,1263.0,1321.0,1089296143,1088530541,93.988,94.385,94.305
1112258807,96.293,0.0481,431962937146930.0,10870919,1212.0,1271.0,1100777475,1102306085,95.073,95.339,95.457
1120278004,96.952,0.0485,422583266408290.0,12316436,1156.0,1233.0,1110527739,1113587452,96.06,96.145,96.396
1115968080,96.543,0.0483,429747903366510.0,13409411,1124.0,1196.0,1113247910,1116786509,96.596,96.344,96.637
1119293340,96.796,0.0484,464945649587820.0,14231306,1074.0,1169.0,1116270625,1118349031,96.763,96.57,96.737
1121245421,96.925,0.0485,481187225136460.0,14827267,1034.0,1145.0,1118758023,1119715171,96.754,96.747,96.818
1134110279,97.996,0.049,463358389170330.0,15223851,992.645,1118.0,1126434151,1127352504,97.238,97.371,97.438
1170492079,101.101,0.0506,465198141669880.0,15436433,979.532,1108.0,1148463115,1150157036,98.673,99.236,99.369
1217411379,105.11,0.0526,505519771039940.0,15577928,990.875,1097.0,1182937247,1187888096,101.402,102.173,102.588
1243203808,107.292,0.0536,512138386468250.0,15911486,1012.0,1103.0,1213070528,1222487710,104.501,104.732,105.532
1230138739,106.115,0.0531,541265864448550.0,16133208,1014.0,1084.0,1221604633,1232372535,106.172,105.423,106.339
1226999701,105.799,0.0529,530067679686630.0,16792721,1003.0,1062.0,1224302167,1230746732,106.402,105.611,106.153
1249075119,107.66,0.0538,517499059459350.0,18636802,975.485,1026.0,1236688643,1238560583,106.524,106.636,106.782
1261493549,108.695,0.0543,527807850335690.0,20052170,963.615,1005.0,1249091096,1251605098,107.385,107.665,107.867
1298864307,111.875,0.0559,548086236089470.0,21125173,939.444,986.654,1273977702,1278109190,109.41,109.77,110.112
1338883280,115.28,0.0576,556926486036680.0,21906176,932.243,985.115,1306430491,1312645334,111.95,112.525,113.047
1345263687,115.785,0.0579,623394454118980.0,22425708,895.558,971.448,1325847089,1335403655,114.313,114.155,114.965
1375589820,118.347,0.0592,646738652413980.0,22701728,892.499,968.036,1350718455,1359363352,116.471,116.251,116.982
1419442685,122.066,0.061,679415763186400.0,22743104,905.148,973.263,1385080570,1392461897,118.733,119.159,119.779
1450197249,124.651,0.0623,752769578896250.0,22551127,923.344,966.03,1417638910,1427511156,121.688,121.905,122.739
1461792237,125.588,0.0628,725686898574637.0,22438110,934.111,962.346,1439715573,1450868983,124.102,123.746,124.689
1454018854,124.863,0.0624,633947461899970.0,22441738,947.092,962.221,1446867214,1455973048,125.034,124.304,125.069
1406673818,120.747,0.0604,752185450936260.0,24167428,901.861,921.724,1426770516,1431641900,123.732,122.525,122.925
1367519342,117.345,0.0587,731153396698280.0,26221984,879.122,895.286,1397144929,1394987420,120.984,119.935,119.731
1341294351,115.05,0.0575,791193164896430.0,27736345,840.772,866.236,1369219640,1360932593,117.714,117.492,116.764
1341511557,115.023,0.0575,707482148926664.0,28795865,781.644,829.849,1355365599,1345773786,115.806,116.258,115.419
1360478426,116.613,0.0583,666699530382369.0,29449675,749.084,811.349,1357922012,1350958790,115.562,116.435,115.822
1375296725,117.844,0.0589,793062086623400.0,29724560,723.404,804.322,1366609369,1364726431,116.493,117.139,116.963
1400612048,119.961,0.06,839798809568540.0,29631067,684.021,788.51,1383610708,1385484670,118.139,118.55,118.697
1421882502,121.733,0.0609,830169266392970.0,29165654,695.163,781.573,1402746605,1407028055,119.845,120.141,120.494
1445125756,123.67,0.0618,913686090953850.0,28628053,695.366,774.011,1423936181,1429959053,121.787,121.905,122.406
1450466425,124.07,0.062,893073722419320.0,28902478,700.226,765.667,1437201303,1443922215,123.157,122.988,123.547
1449660383,123.947,0.062,921789149520140.0,28994386,720.542,761.651,1443430843,1449173292,123.895,123.467,123.942
1447363705,123.693,0.0618,1122819918780700.0,32134071,693.461,726.968,1445397274,1448646384,123.903,123.58,123.84
1449170044,123.8,0.0619,971854229718200.0,34504402,655.894,696.13,1447283659,1448649654,123.813,123.69,123.789
1454933372,124.251,0.0621,939908693723810.0,36256589,648.161,687.525,1451108516,1451750652,123.914,123.97,124.007
1464684531,125.036,0.0625,867901068113162.0,37477432,630.058,677.157,1457896523,1458848397,124.362,124.503,124.568
1435793351,122.527,0.0613,1066680493463900.0,38217885,605.958,661.024,1446844937,1448613748,123.938,123.515,123.65
1418568150,121.008,0.0605,1070857463279200.0,38505672,585.476,648.628,1432706544,1431995948,122.857,122.261,122.185
1420351848,121.108,0.0606,1069927411992500.0,38350984,557.235,633.859,1426529196,1422330866,121.547,121.685,121.311
1425922214,121.534,0.0608,1129804258013100.0,37748383,563.981,622.512,1426225705,1422839748,121.216,121.609,121.304
1423622160,121.286,0.0606,1196253812173990.0,37326702,569.782,611.015,1424923933,1423843793,121.309,121.447,121.339
1424540557,121.31,0.0607,1183023544190562.0,37492568,557.642,602.429,1424732245,1424464701,121.376,121.378,121.339
1434940478,122.14,0.0611,1311499659366700.0,38711173,539.463,586.44,1429836361,1429587451,121.578,121.759,121.721
1441581271,122.652,0.0613,1387658341019900.0,42767615,511.494,556.298,1435708816,1436527554,122.034,122.205,122.257
1438815296,122.374,0.0612,1279522286780700.0,45806607,492.273,539.925,1437262056,1439091485,122.388,122.29,122.427
1449081119,123.201,0.0616,1246878220558239.0,48021704,478.263,526.575,1443171588,1444409204,122.742,122.745,122.833
1451085294,123.325,0.0617,1301167273503683.0,49523582,457.765,510.4,1447128441,1448372236,122.966,123.035,123.125
1448378379,123.05,0.0615,1210813890727900.0,50376072,440.687,497.912,1447753410,1449397807,123.192,123.042,123.167
1452688931,123.374,0.0617,1369971463979800.0,50612000,423.247,488.129,1450221170,1450984807,123.249,123.208,123.257
1328445298,112.777,0.0564,1319690046866200.0,50240052,413.098,477.908,1389333234,1389848689,119.733,117.992,118.021
1278630032,108.504,0.0543,1493898777224566.0,49246456,413.616,462.72,1333981633,1324244937,114.885,113.248,112.407
1379701809,117.032,0.0585,1399393314111600.0,49432713,405.745,451.478,1356841721,1337468465,112.771,115.14,113.48
1407106134,119.311,0.0597,1462196791702569.0,49678654,407.041,451.13,1381973928,1376558675,114.949,117.225,116.75
1408431909,119.368,0.0597,1717009473378600.0,51070920,395.289,434.047,1395202918,1403201634,118.57,118.296,118.959
1421230302,120.405,0.0602,1510234438098320.0,55279081,380.545,417.978,1408216610,1414610143,119.694,119.351,119.877
1435981223,121.615,0.0608,1497252238078600.0,58396937,366.8,406.024,1422098917,1426472697,120.462,120.483,120.837
1451519955,122.893,0.0614,1699216644483167.0,60593029,354.568,395.333,1436809436,1441292102,121.637,121.688,122.052
1459329722,123.503,0.0618,1717116634877000.0,61965438,352.207,388.951,1448069579,1452835050,122.67,122.595,122.985
1463805716,123.832,0.0619,1746679922393300.0,62568390,345.221,381.025,1455937647,1460266091,123.409,123.213,123.565
1468127141,124.149,0.0621,1826148638294400.0,62424183,333.368,379.008,1462032394,1465220429,123.828,123.681,123.935
1500421299,126.822,0.0634,2123037518434500.0,61527566,334.636,372.725,1481226846,1483553982,124.934,125.251,125.432
1540117168,130.117,0.0651,2264610924617800.0,59876361,341.418,371.162,1510672007,1514886874,127.029,127.684,128.024
1595673261,134.739,0.0674,2388586730245300.0,60282702,347.206,370.852,1553172634,1561279236,130.559,131.211,131.879
1614026616,136.214,0.0681,2607445603606700.0,63661847,340.19,358.302,1583599625,1595590590,133.69,133.713,134.706
1644263494,138.704,0.0694,2391544055594154.0,73934618,325.445,343.097,1613931560,1626086163,136.552,136.209,137.213
1704352807,143.723,0.0431,2343071634226500.0,81645491,320.77,336.921,1659142184,1669268671,139.547,139.966,140.798
1825611333,153.886,0.0769,2850729566603702.0,87474602,311.771,332.386,1742376758,1754967185,145.438,146.926,147.968
1867340745,157.329,0.0787,2758032200610565.0,91781191,305.133,326.123,1804858752,1826266285,151.646,152.127,153.914
1956949972,164.81,0.0824,2778666446652800.0,94773042,298.577,324.655,1880904362,1905190457,158.675,158.469,160.496
2142017804,180.316,0.0902,3124425761821300.0,96572425,296.727,328.819,2011461083,2034549017,167.485,169.392,171.316
2275171151,191.426,0.0957,2937525388309321.0,97245558,309.055,333.38,2143316117,2177749839,178.851,180.409,183.287
2207011221,185.605,0.0198,2878966168108400.0,96815934,324.132,335.569,2175163669,2218898962,185.782,183.007,186.664
2016049958,169.469,0.0181,3087450974088182.0,96741993,328.203,334.197,2095606814,2122890578,182.167,176.238,178.507
2058712902,172.97,0.0173,4020073530518100.0,113228538,313.115,315.943,2077159858,2069208308,176.015,174.604,173.909
2124493394,178.428,0.0178,3377511741912781.0,128917778,306.55,305.745,2100826626,2084492657,173.622,176.516,175.116
2239797312,188.042,0.0188,3541488529694418.0,141059721,294.956,296.173,2170311969,2171181938,179.813,182.279,182.325
2301291587,193.134,0.0193,3172756238615668.0,150515301,279.199,289.428,2235801778,2251327130,186.535,187.706,188.985
2331103057,195.57,0.0196,3550102603864746.0,157768267,265.937,286.863,2283452418,2305948276,192.248,191.638,193.503
2333968406,195.73,0.0391,3996994766584200.0,163112710,253.078,283.252,2308710412,2327567153,194.811,193.684,195.244
2360529259,197.87,0.0198,3844703120077900.0,166732257,245.098,281.409,2334619835,2346771274,196.39,195.777,196.773
2382205380,199.6,0.02,4166069583056308.0,168737946,251.639,276.298,2358412607,2366940510,197.733,197.689,198.378
2418551851,202.56,0.0203,3848218156144300.0,169187184,253.833,273.433,2388482229,2396765928,200.01,200.124,200.792
2553856856,213.806,0.0214,3857048146418483.0,168092448,259.426,273.389,2471169542,2480146608,205.322,206.965,207.69
2765169890,231.403,0.0231,3681683791003459.0,168967036,263.825,273.788,2618169716,2636962539,215.923,219.184,220.73
2967969999,248.284,0.0248,4181010473802284.0,182826498,261.031,270.701,2793069858,2831351106,231.164,233.734,236.911
3276694014,274.025,0.0274,4063508548876500.0,193343149,259.838,268.132,3034881936,3088531989,251.237,253.879,258.341
3565822945,298.115,0.0298,3525213954729477.0,201042268,263.111,271.359,3300352441,3369804477,273.475,275.997,281.78
4007937903,334.983,0.0335,3478270768336200.0,206239641,280.062,283.409,3654145172,3738692269,302.374,305.49,312.534
3493449232,291.892,0.0292,4086898747248503.0,209121881,287.746,286.768,3573797202,3677007741,308.33,298.691,307.293
3759506481,314.01,0.0314,4812044517364149.0,209784432,292.892,289.749,3666651842,3712225969,313.629,306.351,310.133
4031895613,336.63,0.0337,4903095293448137.0,208248483,302.916,297.322,3849273727,3851358172,314.177,321.49,321.634
4421853321,369.033,0.0369,4848388582881698.0,204464492,313.03,300.537,4135563524,4181476278,339.891,345.262,349.062
4806496366,400.994,0.0401,4387252754706400.0,198303813,337.149,316.501,4471029945,4549181892,368.886,373.128,379.613
