difficulty-btc-sma-30,difficulty-btc-trx-14,difficulty-btc-trx-90,hashrate-btc-sma-30,hashrate-btc-sma-90,hashrate-btc-ema-90,hashrate-btc-wma-30,hashrate-btc-trx-90,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-ema-14,mining_profitability-btc-ema-30,mining_profitability-btc-ema-90,mining_profitability-btc-wma-14,mining_profitability-btc-wma-30,mining_profitability-btc-wma-90,mining_profitability-btc-trx-90,sentinusd-btc-sma-90,transactionfees-btc-var-90,median_transaction_fee-btc-std-90,median_transaction_fee-btc-trx-90,confirmationtime-btc-sma-30,confirmationtime-btc-trx-90,marketcap-btc-ema-90,marketcap-btc-trx-90,transactionvalue-btc-sma-14,transactionvalue-btc-sma-90,transactionvalue-btc-std-90,transactionvalue-btc-var-90,mediantransactionvalue-btc-sma-14,mediantransactionvalue-btc-sma-30,mediantransactionvalue-btc-sma-90,mediantransactionvalue-btc-ema-14,mediantransactionvalue-btc-ema-30,mediantransactionvalue-btc-ema-90,mediantransactionvalue-btc-wma-30,mediantransactionvalue-btc-wma-90,fee_to_reward-btc-sma-30,fee_to_reward-btc-sma-90,fee_to_reward-btc-ema-90,fee_to_reward-btc-wma-30,fee_to_reward-btc-wma-90,fee_to_reward-btc-std-90,fee_to_reward-btc-var-90,size-btc-sma-90,size-btc-std-30,size-btc-std-90,size-btc-var-30,size-btc-var-90,transactions-btc-trx-30,sentbyaddress-btc-trx-30,sentbyaddress-btc-trx-90,top100cap-btc-sma-90,top100cap-btc-trx-90,top100cap-btc-rsi-90
25244202,1.576,1.195,214680194713570.0,147092263417790.0,160830435137820.0,230128415104730.0,1.251,1688.0,3541.0,1534.0,1837.0,3122.0,1483.0,1586.0,2643.0,-0.138,64724703,0.001,0.021,0.551,8.5,-0.06,1047171017,0.589,1761,1554,786.427,154617,78.898,83.986,79.523,76.455,80.483,78.5,81.209,82.01,0.676,0.981,0.903,0.679,0.847,0.641,0.103,135525,33417,65525,279171907,1073386958,-0.543,-0.215,0.107,20.163,0.011,54.111
25613506,1.58,1.201,217667579037770.0,149046385950440.0,162903993759480.0,232741134956970.0,1.256,1665.0,3488.0,1543.0,1822.0,3089.0,1490.0,1580.0,2601.0,-0.149,64573567,0.001,0.02,0.538,8.485,-0.059,1047164938,0.576,1755,1541,739.167,136592,79.735,84.502,79.696,78.427,81.177,78.78,81.677,82.267,0.679,0.975,0.898,0.679,0.84,0.642,0.103,134740,33491,64999,280408947,1056205981,-0.535,-0.212,0.103,20.168,0.011,55.027
25944227,1.571,1.206,221469815360300.0,151430032340190.0,165687639295440.0,237379346996180.0,1.26,1652.0,3435.0,1550.0,1807.0,3056.0,1497.0,1576.0,2559.0,-0.159,64366119,0.001,0.02,0.526,8.415,-0.059,1047624406,0.564,1759,1532,681.416,116082,79.32,85.573,79.79,80.834,82.165,79.169,82.45,82.636,0.68,0.972,0.895,0.685,0.836,0.643,0.103,133958,33242,64961,276253741,1054984870,-0.524,-0.204,0.1,20.174,0.012,55.347
26274948,1.549,1.211,225970440570060.0,153993445851580.0,168668326048800.0,242530254816380.0,1.265,1635.0,3393.0,1547.0,1790.0,3022.0,1497.0,1568.0,2517.0,-0.169,64227431,0.001,0.02,0.514,8.362,-0.059,1048828375,0.552,1710,1530,679.443,115411,78.711,84.776,79.901,80.882,82.102,79.214,82.168,82.667,0.693,0.966,0.898,0.707,0.837,0.631,0.1,133160,33900,63602,287303910,1011291550,-0.507,-0.187,0.097,20.179,0.012,56.496
26605669,1.516,1.216,230328377607110.0,156511576923200.0,171494642471000.0,247129950473730.0,1.27,1619.0,3353.0,1533.0,1767.0,2987.0,1488.0,1555.0,2474.0,-0.18,64624665,0.001,0.02,0.503,8.32,-0.059,1049984344,0.54,1714,1536,691.687,119608,77.047,83.986,79.948,80.152,81.67,79.13,81.563,82.568,0.691,0.961,0.898,0.718,0.834,0.627,0.098,132638,35354,62742,312479037,984143107,-0.484,-0.161,0.094,20.184,0.012,55.539
26936390,1.473,1.22,233906344262900.0,158862087639940.0,174015533966750.0,250734261952470.0,1.275,1603.0,3308.0,1543.0,1757.0,2957.0,1502.0,1555.0,2436.0,-0.19,65061448,0.001,0.02,0.491,8.309,-0.059,1051028250,0.529,1701,1543,684.46,117121,76.292,82.128,80.246,79.233,81.127,79.001,80.871,82.421,0.691,0.955,0.891,0.713,0.827,0.631,0.099,132213,34895,62570,304413474,978758562,-0.455,-0.13,0.092,20.19,0.013,55.638
27363359,1.449,1.225,238376929064790.0,161587363794580.0,177238997808280.0,256332764823040.0,1.28,1587.0,3252.0,1507.0,1726.0,2920.0,1472.0,1533.0,2391.0,-0.2,65083859,0.001,0.02,0.481,8.3,-0.059,1052028079,0.518,1714,1543,684.724,117212,76.141,80.927,80.128,75.167,79.038,78.336,78.717,81.729,0.693,0.952,0.885,0.708,0.819,0.634,0.101,131911,35304,62437,311598353,974593152,-0.426,-0.103,0.09,20.194,0.013,54.695
27898607,1.463,1.23,242664628602580.0,164125577434460.0,180277198756170.0,261306972040600.0,1.286,1571.0,3207.0,1486.0,1701.0,2886.0,1456.0,1518.0,2349.0,-0.209,64651751,0.001,0.02,0.47,8.31,-0.059,1052807435,0.508,1710,1535,688.187,118400,74.773,79.935,79.903,71.022,76.782,77.583,76.34,80.937,0.693,0.946,0.881,0.709,0.814,0.633,0.1,131357,34730,62204,301542853,967322361,-0.398,-0.083,0.088,20.2,0.013,54.606
28433855,1.496,1.235,248152865352950.0,167120630592190.0,184089527567180.0,268473006302180.0,1.292,1559.0,3159.0,1459.0,1674.0,2850.0,1434.0,1499.0,2307.0,-0.219,64431408,0.001,0.02,0.46,8.308,-0.059,1053808830,0.497,1688,1532,683.677,116853,74.58,80.714,79.973,71.729,76.753,77.555,76.106,80.858,0.691,0.94,0.875,0.702,0.806,0.636,0.101,130810,33810,61665,285783403,950631571,-0.366,-0.059,0.086,20.205,0.014,53.878
28969103,1.533,1.24,252589861662920.0,169950444501740.0,187519703035110.0,274409112496070.0,1.298,1552.0,3115.0,1446.0,1654.0,2818.0,1424.0,1487.0,2268.0,-0.229,64308088,0.001,0.02,0.45,8.302,-0.059,1055160403,0.487,1624,1527,682.379,116410,72.041,80.563,79.704,69.078,75.146,76.99,74.244,80.24,0.707,0.936,0.875,0.714,0.804,0.633,0.1,130469,31829,61431,253267364,943449634,-0.33,-0.034,0.084,20.209,0.014,54.178
29504351,1.566,1.246,257652447642850.0,172928264286850.0,191112708036290.0,280758245975150.0,1.305,1536.0,3069.0,1427.0,1631.0,2784.0,1404.0,1471.0,2228.0,-0.238,64429927,0.001,0.02,0.44,8.31,-0.059,1056618426,0.478,1591,1529,678.092,114952,69.326,79.718,79.58,66.381,73.45,76.372,72.198,79.562,0.707,0.926,0.87,0.711,0.799,0.62,0.096,129871,32265,60174,260251557,905219709,-0.288,-0.007,0.083,20.214,0.014,54.551
30039599,1.589,1.251,262759387589820.0,175971332343780.0,194769338309810.0,287199338738930.0,1.312,1527.0,3020.0,1422.0,1616.0,2754.0,1398.0,1461.0,2191.0,-0.248,64286834,0.001,0.02,0.431,8.285,-0.06,1057685077,0.468,1556,1526,681.74,116192,65.868,77.872,79.331,62.535,71.133,75.519,69.477,78.638,0.714,0.92,0.872,0.727,0.799,0.609,0.093,129158,32408,58785,262571258,863922427,-0.242,0.021,0.082,20.221,0.014,54.797
30574847,1.6,1.256,269309907297920.0,179368959192440.0,199133423415530.0,295623585386040.0,1.32,1503.0,2967.0,1389.0,1588.0,2719.0,1364.0,1439.0,2150.0,-0.257,64178622,0.001,0.02,0.422,8.285,-0.06,1058295048,0.459,1506,1527,678.603,115126,63.011,75.955,79.387,61.04,69.854,74.987,67.764,78.022,0.726,0.915,0.873,0.739,0.799,0.603,0.091,128286,31489,57429,247889593,824522529,-0.197,0.045,0.08,20.227,0.015,54.359
30951026,1.597,1.261,273541673046950.0,182436361107180.0,202834859924460.0,301961577468230.0,1.328,1498.0,2924.0,1383.0,1572.0,2689.0,1355.0,1428.0,2114.0,-0.266,64107427,0.001,0.015,0.413,8.238,-0.061,1058699609,0.45,1493,1527,679.911,115570,62.444,72.599,79.318,59.12,68.357,74.364,65.873,77.302,0.718,0.907,0.866,0.729,0.791,0.601,0.09,127514,31494,56374,247963400,794498622,-0.153,0.064,0.079,20.232,0.015,53.555
31325356,1.581,1.266,279244298436840.0,185804716668930.0,207139515179400.0,310036093660320.0,1.336,1492.0,2881.0,1367.0,1552.0,2658.0,1337.0,1413.0,2078.0,-0.276,63691648,0.001,0.015,0.404,8.148,-0.061,1059019094,0.442,1462,1515,677.885,114882,62.236,70.83,79.116,57.689,67.069,73.793,64.311,76.623,0.711,0.899,0.86,0.722,0.784,0.597,0.089,126538,30477,56529,232211290,798869106,-0.119,0.074,0.078,20.239,0.015,54.753
31699685,1.553,1.271,286660735135450.0,189384754075480.0,211665898929080.0,318671298650820.0,1.345,1472.0,2843.0,1350.0,1532.0,2626.0,1316.0,1397.0,2042.0,-0.285,63708750,0.001,0.015,0.395,8.065,-0.062,1059583815,0.433,1459,1518,676.501,114413,59.618,69.654,79.09,57.276,66.263,73.371,63.263,76.084,0.699,0.888,0.852,0.706,0.775,0.591,0.087,125785,31483,54256,247795455,735936502,-0.085,0.102,0.077,20.249,0.016,56.983
32154667,1.534,1.276,292199421765920.0,192769367869100.0,215505096932440.0,325102825937690.0,1.354,1452.0,2804.0,1321.0,1506.0,2593.0,1284.0,1375.0,2004.0,-0.294,64291275,0.001,0.015,0.387,8.048,-0.063,1060387975,0.425,1466,1530,694.17,120468,57.144,69.744,79.09,57.885,65.978,73.117,62.759,75.705,0.702,0.876,0.847,0.703,0.77,0.568,0.081,124905,32317,50704,261093404,642719475,-0.051,0.127,0.077,20.259,0.016,57.719
32976249,1.604,1.281,299369917771450.0,196667567867700.0,220262412101980.0,334119826930010.0,1.364,1427.0,2760.0,1271.0,1470.0,2557.0,1232.0,1342.0,1963.0,-0.303,64947817,0.001,0.015,0.379,8.041,-0.064,1061527993,0.417,1526,1544,720.468,129768,57.091,69.775,79.236,60.894,66.912,73.279,63.45,75.735,0.719,0.865,0.851,0.725,0.774,0.512,0.066,124287,34046,48274,289789175,582593855,-0.018,0.152,0.076,20.267,0.016,56.836
33797831,1.718,1.288,306133709163070.0,200405341460560.0,224709024284540.0,342069075229160.0,1.373,1404.0,2712.0,1233.0,1439.0,2523.0,1192.0,1314.0,1925.0,-0.312,64925656,0.001,0.015,0.371,8.031,-0.065,1062819202,0.409,1469,1541,721.277,130060,55.395,68.087,79.052,59.664,65.928,72.804,62.282,75.129,0.739,0.866,0.865,0.773,0.787,0.517,0.067,124167,38077,47831,362468152,571942132,0.019,0.176,0.076,20.275,0.017,55.824
34619413,1.846,1.295,313249947288100.0,204273841431730.0,229215373275350.0,350044184532610.0,1.383,1372.0,2665.0,1196.0,1407.0,2488.0,1151.0,1285.0,1886.0,-0.32,65289244,0.001,0.015,0.363,8.055,-0.065,1063987310,0.401,1454,1539,721.28,130061,52.097,65.999,78.463,55.319,63.422,71.799,59.636,73.986,0.752,0.867,0.87,0.797,0.792,0.518,0.067,124333,44238,48532,489255953,588840085,0.066,0.203,0.076,20.281,0.017,54.906
35440996,1.968,1.303,321158591809870.0,208436412889090.0,234396258469030.0,359831004035817.0,1.394,1354.0,2621.0,1169.0,1381.0,2455.0,1122.0,1260.0,1849.0,-0.329,65792889,0.001,0.015,0.356,8.01,-0.066,1065202827,0.394,1476,1547,713.121,127135,50.001,63.355,78.045,50.529,60.581,70.647,56.629,72.688,0.741,0.86,0.865,0.788,0.786,0.516,0.067,124202,44370,48410,492166606,585872242,0.111,0.221,0.076,20.287,0.017,53.272
36262578,2.071,1.311,329890731964660.0,212907031662930.0,239820235758430.0,370155431992370.0,1.404,1332.0,2580.0,1145.0,1355.0,2423.0,1094.0,1237.0,1813.0,-0.338,65983208,0.001,0.015,0.349,7.977,-0.066,1066434532,0.387,1492,1548,711.869,126689,48.679,61.414,77.487,47.202,58.323,69.656,54.192,71.535,0.756,0.856,0.866,0.801,0.788,0.507,0.064,123643,43657,46917,476485243,550300436,0.154,0.231,0.076,20.292,0.018,53.218
37084160,2.148,1.32,337390518778149.0,217186184234220.0,244733162207040.0,378766248586290.0,1.415,1309.0,2528.0,1118.0,1329.0,2391.0,1064.0,1212.0,1777.0,-0.347,66329194,0.001,0.015,0.342,7.99,-0.067,1067921911,0.38,1488,1549,711.506,126560,45.165,60.623,76.802,44.525,56.31,68.722,51.979,70.428,0.776,0.854,0.871,0.822,0.793,0.503,0.063,123687,45806,47112,524544057,554881968,0.204,0.244,0.076,20.297,0.018,53.335
37905742,2.197,1.329,344820843830610.0,221372350415950.0,249578546371060.0,387011901676080.0,1.426,1286.0,2482.0,1108.0,1310.0,2361.0,1050.0,1194.0,1745.0,-0.355,66494390,0.001,0.015,0.335,8.001,-0.068,1070176201,0.373,1503,1548,711.05,126398,44.22,59.802,76.208,43.737,55.169,68.06,50.559,69.589,0.783,0.848,0.868,0.818,0.79,0.496,0.062,123604,44107,46891,486360471,549688582,0.254,0.259,0.076,20.3,0.018,51.911
38693363,2.218,1.337,352951805203370.0,225984442785980.0,255203628231910.0,397379574399260.0,1.438,1275.0,2429.0,1097.0,1292.0,2332.0,1038.0,1178.0,1713.0,-0.364,67095380,0.001,0.015,0.329,7.955,-0.068,1073412139,0.367,1562,1557,723.641,130914,44.656,59.0,75.818,45.232,55.155,67.772,50.247,69.122,0.779,0.841,0.863,0.81,0.786,0.489,0.06,123336,43833,46277,480324968,535393065,0.302,0.275,0.077,20.303,0.018,51.352
39345143,2.213,1.346,362002352185680.0,230616166723970.0,260850545995350.0,407649676416350.0,1.449,1272.0,2380.0,1103.0,1282.0,2305.0,1043.0,1169.0,1684.0,-0.372,67050017,0.001,0.014,0.323,7.837,-0.069,1077143824,0.361,1571,1553,724.64,131276,45.142,57.565,75.202,45.114,54.457,67.257,49.301,68.43,0.782,0.837,0.86,0.806,0.783,0.486,0.059,123045,43850,45704,480703689,522210726,0.35,0.294,0.077,20.306,0.019,51.403
39996922,2.185,1.355,372597763549062.0,235574375297700.0,267013520027290.0,419215064304270.0,1.461,1252.0,2328.0,1084.0,1262.0,2276.0,1027.0,1149.0,1653.0,-0.38,67068079,0.001,0.014,0.317,7.78,-0.07,1080506349,0.355,1600,1550,722.411,130469,45.075,56.349,74.924,45.816,54.194,66.886,48.838,67.884,0.776,0.832,0.856,0.8,0.78,0.483,0.058,122868,43873,45424,481201585,515836969,0.392,0.31,0.078,20.31,0.019,49.907
40825583,2.172,1.363,382340716762760.0,240357795734180.0,272794930129690.0,429374413732500.0,1.474,1237.0,2279.0,1062.0,1240.0,2246.0,1007.0,1128.0,1622.0,-0.389,67177073,0.001,0.014,0.311,7.713,-0.071,1083725983,0.35,1616,1549,723.892,131005,44.282,54.669,74.382,44.447,52.991,66.197,47.495,67.019,0.765,0.83,0.851,0.789,0.775,0.485,0.059,122844,43662,45404,476594398,515382199,0.425,0.317,0.079,20.314,0.019,49.815
41975353,2.222,1.373,391148637694350.0,244943601700930.0,278173042862210.0,438094306809700.0,1.486,1215.0,2227.0,1026.0,1211.0,2214.0,974.15,1099.0,1590.0,-0.397,66946539,0.00125,0.013,0.306,7.739,-0.071,1087360030,0.344,1638,1546,725.131,131454,43.925,53.071,74.05,44.305,52.371,65.696,46.767,66.338,0.775,0.826,0.849,0.791,0.774,0.482,0.058,122781,43174,45278,466006296,512521196,0.446,0.315,0.079,20.317,0.019,49.988
