difficulty-btc-wma-3,difficulty-btc-std-90,difficulty-btc-var-90,difficulty-btc-rsi-30,difficulty-btc-rsi-90,hashrate-btc-sma-14,hashrate-btc-ema-7,hashrate-btc-ema-14,hashrate-btc-ema-90,hashrate-btc-wma-30,hashrate-btc-std-90,hashrate-btc-var-90,hashrate-btc-trx-14,mining_profitability-btc-sma-3,mining_profitability-btc-sma-7,mining_profitability-btc-sma-14,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-ema-7,mining_profitability-btc-ema-30,mining_profitability-btc-wma-3,mining_profitability-btc-wma-7,mining_profitability-btc-wma-30,mining_profitability-btc-wma-90,mining_profitability-btc-std-14,mining_profitability-btc-std-90,mining_profitability-btc-var-14,mining_profitability-btc-var-90,mining_profitability-btc-trx-30,sentinusd-btc-trx-30,transactionfees-btc-ema-30,transactionfees-btc-ema-90,transactionfees-btc-wma-30,median_transaction_fee-btc-sma-14,median_transaction_fee-btc-sma-30,median_transaction_fee-btc-sma-90,median_transaction_fee-btc-ema-14,median_transaction_fee-btc-trx-90,confirmationtime-btc-wma-90,confirmationtime-btc-trx-90,marketcap-btc-sma-14,marketcap-btc-sma-90,marketcap-btc-ema-3,marketcap-btc-ema-30,marketcap-btc-ema-90,marketcap-btc-wma-7,marketcap-btc-wma-30,marketcap-btc-wma-90,marketcap-btc-rsi-90,transactionvalue-btc-sma-30,transactionvalue-btc-wma-30,transactionvalue-btc-std-30,transactionvalue-btc-var-30,transactionvalue-btc-trx-90,mediantransactionvalue-btc-wma-30,fee_to_reward-btc-sma-90,fee_to_reward-btc-std-90,fee_to_reward-btc-var-90,size-btc-sma-30,size-btc-sma-90,size-btc-ema-90,size-btc-wma-90,transactions-btc-sma-30,transactions-btc-sma-90,transactions-btc-ema-90,transactions-btc-wma-90,transactions-btc-std-90,sentbyaddress-btc-sma-30,sentbyaddress-btc-sma-90,sentbyaddress-btc-ema-30,sentbyaddress-btc-ema-90,sentbyaddress-btc-wma-90,sentbyaddress-btc-trx-30,top100cap-btc-sma-90,top100cap-btc-ema-90,top100cap-btc-wma-90,activeaddresses-btc-sma-30,activeaddresses-btc-sma-90,activeaddresses-btc-ema-30,activeaddresses-btc-ema-90,activeaddresses-btc-wma-90,activeaddresses-btc-trx-30,price-btc-ema-90
7673000,2953023,2180085742573.0,98.62,93.644,61109257991306.0,64137235862668.0,60884980460614.0,41029324032980.0,58282455579911.0,28545384259058.0,2.0370974062431e+26,1.659,10916.0,10166.0,8860.0,7116.0,4746.0,9781.0,7645.0,9873.0,10242.0,8154.0,5840.0,4004.0,4449.0,4007207.0,4949018.0,1.746,3.937,0.093,0.056,0.103,0.063,0.045,0.024,0.065,1.49,8.594,-0.073,1387155750,508774849,1599341659,1113695941,654456853,1702619360,1227560681,717521830,65.378,3096,3659,3057.0,2336379,0.231,102.362,1.247,0.757,0.143,159257,160726,157163,162953,55339,54776,53528,56467,15427,53099,43273,56408,45444,47304,0.831,19.438,19.576,19.53,81053,63095,86946,67591,70500,1.035,59.859
7673000,3022728,2284220826087.0,98.62,93.644,61439083798710.0,64024996828665.0,61258753696086.0,41527323059214.0,58910463766990.0,28885591087043.0,2.0859434311197e+26,1.63,8586.0,9653.0,8853.0,7160.0,4791.0,8926.0,7562.0,7595.0,9290.0,8105.0,5876.0,4022.0,4431.0,4044145.0,4908464.0,1.774,3.95,0.093,0.057,0.103,0.063,0.046,0.024,0.062,1.531,8.58,-0.074,1392135055,518441394,1309141995,1107582805,662467523,1541773671,1229510169,728734302,59.878,3151,3639,2972.0,2208171,0.272,103.623,1.248,0.757,0.143,159133,160733,157309,163020,55405,54920,53637,56549,15321,53802,43613,56992,45885,47792,0.881,19.446,19.589,19.545,82384,63675,87979,68368,71377,1.094,60.575
7673000,3087734,2383524573089.0,98.62,93.644,61782278732706.0,63746965453545.0,61479302713700.0,41997335109082.0,59424157039204.0,29197883149984.0,2.1312909511002e+26,1.581,6682.0,9320.0,8852.0,7215.0,4839.0,8343.0,7500.0,6600.0,8526.0,8069.0,5915.0,4024.0,4415.0,4047471.0,4872858.0,1.78,3.895,0.092,0.057,0.103,0.064,0.047,0.025,0.061,1.568,8.572,-0.075,1401156941,528852702,1197263424,1106150679,671762409,1411661816,1234556942,741194598,60.772,3201,3591,2866.0,2053298,0.312,102.945,1.246,0.76,0.144,158774,160542,157042,162678,55254,54965,53631,56515,15279,54245,43791,56853,46081,48039,0.917,19.456,19.601,19.561,83108,63979,87648,68686,71798,1.135,61.407
7673000,3148331,2477996983579.0,98.62,93.644,62288221277125.0,63219391881007.0,61500285173658.0,42428968868517.0,59805505495776.0,29497871637179.0,2.1753110778086e+26,1.513,6245.0,8801.0,8767.0,7258.0,4877.0,7702.0,7389.0,6148.0,7641.0,7976.0,5936.0,4225.0,4388.0,4461914.0,4813521.0,1.763,3.775,0.092,0.058,0.103,0.064,0.048,0.025,0.059,1.602,8.583,-0.076,1403741761,538453760,1105205898,1100150530,679265397,1277399512,1233623555,751838459,59.319,3124,3474,2931.0,2147692,0.349,100.739,1.251,0.756,0.143,158860,161076,157441,163000,55011,55086,53668,56523,15114,54223,43937,56083,46056,48063,0.936,19.466,19.613,19.576,83371,64280,86599,68746,71961,1.156,62.076
7673000,3204770,2567638057558.0,98.62,93.644,62037669432380.0,62913140487095.0,61566165324552.0,42858978042953.0,60168672260366.0,29756984964706.0,2.2136953854744e+26,1.434,6080.0,8193.0,8670.0,7296.0,4921.0,7243.0,7291.0,5958.0,6907.0,7886.0,5958.0,4419.0,4348.0,4882989.0,4725580.0,1.73,3.615,0.094,0.059,0.105,0.064,0.048,0.026,0.057,1.633,8.58,-0.077,1398146246,547478560,1033192945,1091184689,685461322,1149783139,1228180256,761129145,58.305,3080,3380,2977.0,2215376,0.383,99.822,1.259,0.764,0.146,160892,161116,157538,163018,55688,55191,53683,56506,14960,55075,44122,56271,46340,48394,0.948,19.479,19.63,19.596,85015,64753,87480,69438,72751,1.174,62.627
7673000,3257267,2652447795025.0,98.62,93.644,62481173667108.0,64198519412374.0,62431297439707.0,43412729210981.0,60877604016506.0,30164729405180.0,2.2747772502194e+26,1.376,5527.0,6991.0,8452.0,7295.0,4949.0,6666.0,7139.0,5387.0,6093.0,7734.0,5958.0,4816.0,4314.0,5797867.0,4652684.0,1.678,3.446,0.091,0.059,0.103,0.062,0.049,0.026,0.054,1.659,8.563,-0.078,1372807391,554999586,930775219,1074228096,688601898,1018918618,1213136003,767302309,55.839,3109,3310,2916.0,2125679,0.415,97.919,1.258,0.764,0.146,164235,161121,158058,163459,56771,55348,53989,56779,15180,56172,44383,56971,46797,48900,0.961,19.494,19.649,19.619,86629,65219,88311,70118,73534,1.188,62.899
7855638,3321596,2758250272700.0,98.84,94.189,63008477266074.0,65062044042885.0,63127473505668.0,43945474018090.0,61514797427390.0,30543339359100.0,2.3322389480128e+26,1.328,5269.0,5948.0,8177.0,7308.0,4983.0,6251.0,7001.0,5126.0,5596.0,7586.0,5959.0,5122.0,4268.0,6559205.0,4554470.0,1.612,3.273,0.093,0.06,0.104,0.061,0.049,0.026,0.052,1.681,8.553,-0.079,1339966087,562776132,894593419,1060304452,692333979,942808534,1199279672,773970705,56.262,3055,3262,2908.0,2113889,0.445,96.984,1.264,0.775,0.15,166110,160719,158184,163518,57212,55443,54045,56805,15101,56859,44613,57256,47117,49273,0.969,19.507,19.665,19.639,88176,65734,89404,70890,74414,1.2,63.225
8445407,3427443,2936841391024.0,99.185,95.245,64214099833488.0,66834325803132.0,64330633182762.0,44565379448107.0,62399457227446.0,31020141288674.0,2.4056229139233e+26,1.305,4940.0,5631.0,7899.0,7308.0,5009.0,5908.0,6864.0,4930.0,5329.0,7430.0,5957.0,5379.0,4235.0,7233185.0,4484198.0,1.536,3.238,0.092,0.061,0.103,0.06,0.05,0.027,0.051,1.7,8.575,-0.08,1317688506,572582902,970266127,1059377638,700105515,953132362,1196761330,784589665,58.757,3378,3830,4275.0,4569337,0.484,97.412,1.263,0.775,0.15,166509,160266,157882,163159,57230,55415,53878,56608,15158,57129,44766,57078,47280,49491,0.969,19.52,19.682,19.659,88621,66013,88934,71137,74774,1.2,63.917
8818293,3525530,3107340479299.0,99.185,95.245,64792910018212.0,65105443685300.0,63742388402634.0,44902817203792.0,62437535083100.0,31085309360937.0,2.4157411451629e+26,1.242,5361.0,5608.0,7630.0,7286.0,5048.0,5980.0,6821.0,5559.0,5471.0,7358.0,5983.0,5317.0,4214.0,7067239.0,4439211.0,1.459,3.187,0.093,0.062,0.104,0.059,0.051,0.027,0.052,1.717,8.613,-0.08,1300884039,583869469,1074697800,1067103563,710633514,1004651749,1201792822,797920359,60.38,3412,3829,4258.0,4532981,0.522,97.762,1.263,0.774,0.15,170094,160843,159062,164288,57674,55452,54000,56696,15181,57952,45122,57739,47720,49987,0.969,19.534,19.698,19.679,90027,66631,89971,71882,75631,1.2,64.857
8974296,3616489,3269747537528.0,99.185,95.245,65002587737525.0,65020008469174.0,63878563658389.0,45339320184386.0,62755459372970.0,31265747259647.0,2.4438673792603e+26,1.175,5988.0,5650.0,7485.0,7293.0,5099.0,6207.0,6825.0,6323.0,5790.0,7332.0,6024.0,5279.0,4191.0,6966124.0,4391660.0,1.387,3.098,0.094,0.063,0.104,0.058,0.052,0.028,0.052,1.733,8.625,-0.081,1285931883,596110754,1170097628,1079903169,722828326,1072042161,1211216981,812901194,61.377,3420,3777,4251.0,4516867,0.558,96.184,1.265,0.773,0.149,171107,161030,159026,164212,57434,55529,53871,56535,14961,58095,45304,57196,47755,50079,0.96,19.549,19.717,19.701,90186,66947,88973,71939,75804,1.187,65.948
8974296,3700845,3424062565708.0,99.185,95.245,65993360293655.0,67910213960300.0,65572199228427.0,46025946783271.0,63809760251770.0,31938321690919.0,2.5501409810816e+26,1.155,6567.0,5770.0,7285.0,7281.0,5147.0,6309.0,6812.0,6637.0,6032.0,7289.0,6057.0,5183.0,4161.0,6715105.0,4328140.0,1.317,2.98,0.093,0.063,0.104,0.057,0.053,0.029,0.053,1.747,8.612,-0.081,1264565726,608275600,1216992271,1091773088,734719723,1132597346,1219319236,827577593,61.348,3450,3719,4213.0,4437163,0.591,95.26,1.263,0.776,0.151,170853,160848,158235,163377,56891,55570,53655,56283,14811,57937,45467,56472,47716,50093,0.94,19.564,19.735,19.722,90016,67213,87741,71894,75868,1.161,67.01
8974296,3779040,3570285563842.0,99.185,95.245,66648016392660.0,69060990209117.0,66497681858713.0,46608086831014.0,64554604363742.0,32339662703921.0,2.6146344595084e+26,1.146,6522.0,5798.0,6995.0,7262.0,5183.0,6247.0,6764.0,6384.0,6105.0,7210.0,6077.0,4965.0,4135.0,6162104.0,4274100.0,1.246,2.863,0.094,0.064,0.104,0.056,0.053,0.029,0.054,1.76,8.626,-0.082,1225708079,620254784,1236487268,1102367228,746176043,1182221420,1225738880,841812905,61.204,3524,3752,4167.0,4340840,0.624,95.053,1.266,0.773,0.149,171582,160873,157989,163074,56702,55608,53510,56095,14705,58306,45666,56314,47855,50282,0.916,19.578,19.752,19.743,90841,67638,87998,72329,76407,1.134,68.033
8974296,3850125,3705865399816.0,99.185,95.245,67207534188856.0,70031965887484.0,67357310000562.0,47186917734126.0,65283995631790.0,32710927177535.0,2.675011892035e+26,1.143,6578.0,6100.0,6545.0,7326.0,5234.0,6449.0,6782.0,6651.0,6419.0,7197.0,6118.0,3506.0,4114.0,3073668.0,4231763.0,1.181,2.75,0.096,0.066,0.106,0.053,0.054,0.03,0.054,1.772,8.622,-0.082,1167529163,633083834,1286542649,1117478893,759152350,1241470782,1236154772,857556712,62.121,3589,3730,4083.0,4168354,0.655,93.899,1.267,0.773,0.15,173066,160875,158351,163373,57047,55775,53685,56225,14630,58773,45985,56771,48196,50671,0.896,19.592,19.769,19.764,91646,68147,88332,72788,76968,1.108,69.192
8974296,3910624,3823245990120.0,99.185,95.245,67494166971824.0,71078815116332.0,68272250374204.0,47781037405966.0,66068339192692.0,33081366474090.0,2.7359420194826e+26,1.144,6862.0,6452.0,6200.0,7414.0,5282.0,6704.0,6827.0,7097.0,6762.0,7206.0,6167.0,1607.0,4117.0,645980.0,4236623.0,1.122,2.657,0.098,0.067,0.107,0.051,0.055,0.03,0.056,1.783,8.626,-0.082,1133703753,647652576,1389428781,1141661862,775265813,1321497918,1255266663,876440912,63.793,3668,3793,4063.0,4127242,0.686,93.036,1.271,0.775,0.15,174432,161527,159477,164443,57581,55983,53931,56424,14606,59377,46269,57197,48530,51053,0.877,19.605,19.781,19.78,92858,68612,89248,73441,77724,1.084,70.634
8974296,3965714,3931721326432.0,99.185,95.245,67885327715151.0,71149868590928.0,68684354192939.0,48299322935829.0,66620844512749.0,33302829454661.0,2.7726961242155e+26,1.135,7688.0,6975.0,6303.0,7517.0,5347.0,7163.0,6937.0,7935.0,7283.0,7278.0,6239.0,1969.0,4136.0,969112.0,4276867.0,1.075,2.574,0.101,0.068,0.109,0.052,0.057,0.031,0.058,1.794,8.619,-0.082,1153738721,662848016,1468499167,1167849455,792239522,1392699310,1276361910,896219307,64.357,3701,3793,4047.0,4094710,0.716,92.978,1.273,0.775,0.15,174907,161655,159832,164753,58031,56139,54117,56565,14577,59844,46554,57549,48841,51414,0.86,19.618,19.794,19.797,93450,69070,89347,73822,78211,1.059,72.153
8974296,4015615,4031291408750.0,99.185,95.245,68990539268645.0,73152711812089.0,70081272497290.0,48977606859779.0,67631024256869.0,33788171611319.0,2.8541013520898e+26,1.146,7752.0,7125.0,6367.0,7566.0,5391.0,7184.0,6957.0,7715.0,7351.0,7261.0,6281.0,2028.0,4131.0,1028564.0,4266292.0,1.03,2.479,0.101,0.069,0.109,0.054,0.057,0.032,0.059,1.804,8.613,-0.083,1186163093,677172306,1470691348,1187529073,807198731,1427313814,1290999205,914022285,63.014,3662,3741,4055.0,4110287,0.743,92.872,1.27,0.778,0.151,173804,161716,159783,164663,58098,56171,54138,56542,14555,60101,46770,57605,49051,51674,0.841,19.63,19.808,19.814,93898,69420,89144,74094,78588,1.03,73.489
8974296,4060520,4121956237076.0,99.185,95.245,69707207298615.0,73101089796006.0,70463265997353.0,49504389648526.0,68168272441535.0,34019506425942.0,2.8933170436618e+26,1.142,7406.0,7060.0,6355.0,7532.0,5430.0,6996.0,6923.0,7055.0,7178.0,7188.0,6304.0,2025.0,4103.0,1024992.0,4208232.0,0.984,2.363,0.101,0.07,0.109,0.055,0.058,0.032,0.06,1.813,8.638,-0.083,1208634661,690671853,1435339077,1201236023,820227040,1433212920,1299632658,929908318,61.743,3653,3652,4066.0,4132550,0.769,92.353,1.268,0.779,0.152,172867,161550,159505,164343,57545,56049,53920,56280,14768,59765,46851,56868,48988,51662,0.814,19.639,19.816,19.826,93358,69739,88442,74186,78782,0.997,74.65
