top100cap-btc_raw,difficulty-btc-sma-30,difficulty-btc-sma-90,difficulty-btc-ema-14,difficulty-btc-ema-30,difficulty-btc-ema-90,difficulty-btc-wma-14,difficulty-btc-wma-30,difficulty-btc-wma-90,hashrate-btc-sma-3,hashrate-btc-sma-7,hashrate-btc-sma-14,hashrate-btc-sma-30,hashrate-btc-sma-90,hashrate-btc-ema-3,hashrate-btc-ema-7,hashrate-btc-ema-14,hashrate-btc-ema-30,hashrate-btc-ema-90,hashrate-btc-wma-3,hashrate-btc-wma-7,hashrate-btc-wma-14,hashrate-btc-wma-30,hashrate-btc-wma-90,hashrate-btc-std-14,hashrate-btc-std-30,hashrate-btc-std-90,hashrate-btc-var-14,hashrate-btc-var-30,hashrate-btc-var-90,hashrate-btc-trx-90,mining_profitability-btc-sma-90,mining_profitability-btc-std-90,sentinusd-btc-sma-90,marketcap-btc-sma-90,marketcap-btc-ema-90,marketcap-btc-wma-90,mediantransactionvalue-btc-trx-90,fee_to_reward-btc-sma-90,fee_to_reward-btc-trx-90,transactions-btc-sma-90,sentbyaddress-btc-sma-30,sentbyaddress-btc-sma-90,sentbyaddress-btc-ema-30,sentbyaddress-btc-wma-30,top100cap-btc-sma-30,top100cap-btc-sma-90,top100cap-btc-ema-30,top100cap-btc-ema-90,top100cap-btc-wma-90,top100cap-btc-std-90
17.009,907440830464,812786753635,903849054055,893682482281,813464895232,902592234610,902481840571,860038603100,7.919973452175928e+18,7.788982488208285e+18,7.310628988975974e+18,6.664961020183704e+18,6.102712127971698e+18,7.964507482364922e+18,7.779137863024062e+18,7.378543714055742e+18,6.9159493389959e+18,6.149320566453039e+18,7.945657946876419e+18,7.934633513158707e+18,7.653708689355202e+18,6.941591508728497e+18,6.473532862563098e+18,1.5170138876750428e+18,2.0874506643092367e+18,1.8752637817493724e+18,5.7533278384974e+35,1.0893625689812999e+36,8.7915356278524e+35,0.422,1.121,0.523,6384839883,52369664625,55457928769,59300637348,0.571,12.718,0.148,245992,410369,387195,405907,410794,17.046,17.575,17.105,17.441,17.334,0.905
17.125,907423884840,815497471298,906365806811,895556173729,815866209617,906067832210,903467896652,862454821695,7.744278983966837e+18,7.863985586513402e+18,7.410154097361221e+18,6.693363823883404e+18,6.125998429478091e+18,7.644806414678106e+18,7.66562973401587e+18,7.371418598447149e+18,6.942346500802056e+18,6.175161990201133e+18,7.648223894284106e+18,7.818664227854461e+18,7.655638870423912e+18,6.984181465296729e+18,6.500398647596495e+18,1.31093187933514e+18,2.0993848350778647e+18,1.883336060989772e+18,4.2963559806429e+35,1.1018541714387e+36,8.8673867965612e+35,0.422,1.119,0.523,6380741542,52636858667,55774740469,59685322986,0.573,12.6,0.146,245149,405673,385956,399925,404523,17.049,17.563,17.106,17.434,17.325,0.898
17.059,907406939216,818208188960,908546992533,897308981858,818214747861,909214355110,904455045999,864811464078,7.436639744521736e+18,7.759684096429087e+18,7.439169999879649e+18,6.722060175458999e+18,6.151942975929725e+18,7.311662290714562e+18,7.493851842199657e+18,7.319031874220999e+18,6.944680156669731e+18,6.192818169905526e+18,7.265343485676203e+18,7.597297372913866e+18,7.59808741300922e+18,7.002578519675284e+18,6.519135345118977e+18,1.2521312182161068e+18,2.09063822942655e+18,1.8651769694723067e+18,3.9195814690784e+35,1.0926920515848999e+36,8.6972128186247e+35,0.422,1.121,0.525,6408719703,52922681304,56090120641,60069667592,0.575,12.439,0.143,244723,405795,385124,400135,404363,17.053,17.55,17.103,17.426,17.313,0.894
17.007,907389993592,820918906623,910437353492,898948705591,820511669880,912031803311,905443288613,867108530249,7.480198393834643e+18,7.8109356473383e+18,7.604303390861654e+18,6.769214777435096e+18,6.188368297359926e+18,7.724316979238082e+18,7.654631798590142e+18,7.428090513359746e+18,7.0216021896434e+18,6.235546818210055e+18,7.615509447296139e+18,7.691619265746995e+18,7.69112763539348e+18,7.093863132081905e+18,6.562762349335064e+18,9.238686182571752e+17,2.1514655256113969e+18,1.8906006774579028e+18,2.1338330595011e+35,1.1572009769736e+36,8.9359273040107e+35,0.422,1.122,0.527,6432769464,53225014760,56410704319,60459865322,0.576,12.276,0.139,244374,406593,384851,401192,405054,17.053,17.537,17.097,17.417,17.302,0.892
16.997,907373047968,823629624286,912075666323,900482640697,822758110096,914520176812,906432624493,869346020207,7.902459114730837e+18,7.827486149673075e+18,7.706630201215937e+18,6.843488085387553e+18,6.227790183241535e+18,8.158102244458974e+18,7.888945726362576e+18,7.583263446202428e+18,7.122910919968334e+18,6.287334525714888e+18,8.171354005218754e+18,7.886857231332387e+18,7.822805517902575e+18,7.211454921258985e+18,6.615586947408028e+18,1.0167287344445722e+18,2.242267237195856e+18,1.9407972668340503e+18,2.5843432986132e+35,1.2569405907504999e+36,9.4167350773763e+35,0.422,1.122,0.527,6474756458,53519769893,56609658723,60728834881,0.577,12.129,0.135,244067,406454,384487,401906,405421,17.053,17.525,17.09,17.408,17.29,0.89
16.967,907356102344,826340341948,913495537444,901917612247,824955178000,916679475613,907423053638,871523933953,8.469714102018622e+18,7.945785346386765e+18,7.82060795941923e+18,6.912290756279546e+18,6.26692281111765e+18,8.419192686536676e+18,8.086780076925526e+18,7.729532737190688e+18,7.223386546332595e+18,6.339926802701689e+18,8.560266012160529e+18,8.100056476067714e+18,7.95262590822237e+18,7.329957827273619e+18,6.669487891262376e+18,1.0686813280889312e+18,2.3349050235783194e+18,1.9942562543155208e+18,2.8551994525148e+35,1.3629453672827998e+36,9.9426450196914e+35,0.423,1.121,0.527,6513686017,53743779312,56692632593,60879718396,0.578,12.014,0.131,244046,404433,384624,403313,406534,17.051,17.513,17.082,17.398,17.277,0.891
16.994,907339156720,829040963952,914726092415,903260004988,827103958698,918509699714,908414576050,873642271487,8.534418726011295e+18,8.007163868480093e+18,7.874798071328188e+18,6.982970164773613e+18,6.304233752723212e+18,8.375139113138148e+18,8.147856442629049e+18,7.809739777530545e+18,7.294850997520145e+18,6.383688533186039e+18,8.490951731021032e+18,8.196381524405928e+18,8.020689585598422e+18,7.421492974593626e+18,6.714854105078241e+18,1.0895817476996708e+18,2.37372414326894e+18,2.0214989814048425e+18,2.9679709623007e+35,1.4086415770845e+36,1.0216145329551999e+36,0.423,1.12,0.528,6581522255,53908783695,56694344140,60946239905,0.579,11.932,0.126,244662,406458,385952,408428,411576,17.052,17.501,17.077,17.389,17.266,0.889
16.97,907322211096,831385713969,915792573389,904515791745,829205513445,920010849116,909407191728,875701254690,8.222591505103178e+18,7.957179600927614e+18,7.873081044567949e+18,6.995936104042449e+18,6.334292189083469e+18,8.015772480046834e+18,8.024993793710666e+18,7.789295253453875e+18,7.318177116838557e+18,6.411660342279874e+18,8.051945291493146e+18,8.108692019024784e+18,7.991570622348732e+18,7.4649404379602e+18,6.744572173083348e+18,1.0908764258220288e+18,2.3840247032133985e+18,2.0205776573701325e+18,2.9750284410356e+35,1.4208934463828995e+36,1.0206835173658e+36,0.424,1.12,0.528,6620231167,54128332584,56806707750,61119824623,0.58,11.843,0.121,244872,402616,386371,405264,408539,17.049,17.488,17.07,17.38,17.254,0.888
16.99,907305265471,833730463986,916716856901,905690560002,831260880177,921182923818,910400900672,877708704927,7.985685510528429e+18,8.049245286341731e+18,7.956615436427568e+18,7.012401753047025e+18,6.364900678851296e+18,7.992668812468482e+18,8.011136631505533e+18,7.813331238978708e+18,7.360202150906399e+18,6.445900008271308e+18,7.925432111386627e+18,8.111788405015415e+18,8.004435169058357e+18,7.527755214789083e+18,6.780512238046132e+18,9.142262434261722e+17,2.403790064848468e+18,2.0352237623050235e+18,2.0895240604228e+35,1.4445516689661e+36,1.0355339406627999e+36,0.425,1.12,0.528,6613809051,54337078486,56893486856,61265469118,0.58,11.702,0.115,244071,398818,385306,399922,403368,17.046,17.477,17.065,17.371,17.243,0.886
16.887,911603683948,837513668704,934779359015,915141854373,836116369025,939287380224,919748020497,882509917207,7.882730080625266e+18,8.198345441095891e+18,7.97901476876249e+18,7.043931164548471e+18,6.393862180828118e+18,8.007444031249306e+18,8.013907286136681e+18,7.841182973785565e+18,7.402912931495027e+18,6.480544387211062e+18,7.94369898113748e+18,8.105031895937516e+18,8.013182344205366e+18,7.592904730723475e+18,6.816936822028084e+18,9.041358702168088e+17,2.4309770499082e+18,2.0544613586135224e+18,2.0436541795318e+35,1.4774123542951e+36,1.055202868509e+36,0.425,1.118,0.531,6628894612,54582183166,57084971223,61513138284,0.581,11.604,0.11,243517,398048,384309,397768,401286,17.038,17.464,17.053,17.361,17.23,0.886
