bitcoin-marketcap_raw,bitcoin-price_raw,difficulty-btc-ema-3,difficulty-btc-ema-90,difficulty-btc-wma-14,difficulty-btc-wma-90,hashrate-btc-sma-90,hashrate-btc-wma-30,hashrate-btc-std-90,hashrate-btc-var-90,mining_profitability-btc-sma-90,transactionfees-btc-trx-90,confirmationtime-btc-sma-30,confirmationtime-btc-ema-90,confirmationtime-btc-wma-90,marketcap-btc-sma-3,marketcap-btc-sma-30,marketcap-btc-sma-90,marketcap-btc-ema-3,marketcap-btc-ema-14,marketcap-btc-ema-30,marketcap-btc-ema-90,marketcap-btc-wma-3,marketcap-btc-wma-7,marketcap-btc-wma-14,marketcap-btc-wma-90,transactionvalue-btc-trx-30,mediantransactionvalue-btc-trx-90,size-btc-sma-90,transactions-btc-sma-30,transactions-btc-ema-30,transactions-btc-ema-90,transactions-btc-wma-30,transactions-btc-wma-90,sentbyaddress-btc-sma-30,sentbyaddress-btc-sma-90,sentbyaddress-btc-ema-90,sentbyaddress-btc-wma-90,sentbyaddress-btc-trx-90,top100cap-btc-ema-90,top100cap-btc-wma-90,activeaddresses-btc-sma-90,price-btc-sma-3,price-btc-sma-7,price-btc-sma-30,price-btc-sma-90,price-btc-ema-3,price-btc-ema-14,price-btc-ema-30,price-btc-ema-90,price-btc-wma-3,price-btc-wma-7,price-btc-wma-30,price-btc-wma-90
1263886915,114.295,8904367,5572717,8327453,5930837,41118194853750.0,63809760251770.0,31938321690919.0,2.5501409810816e+26,5147.0,1.886,8.695,8.889,8.612,1236171281,1156477776,608275600,1216992271,1170210473,1091773088,734719723,1250297522,1132597346,1136159281,827577593,2.918,0.97,160848,56891,56100,53655,57040,56283,57937,45467,47716,50093,0.364,19.735,19.722,67213,111.825,95.72,105.114,55.606,110.088,106.075,99.155,67.01,113.091,102.484,110.665,75.411
1255982265,113.535,8939332,5647477,8447907,6019707,41682636384017.0,64554604363742.0,32339662703921.0,2.6146344595084e+26,5183.0,1.898,8.788,8.901,8.626,1261788879,1175151713,620254784,1236487268,1181646712,1102367228,746176043,1260203013,1182221420,1135014819,841812905,2.825,0.998,160873,56702,55515,53510,56404,56095,58306,45666,47855,50282,0.369,19.752,19.743,67638,114.103,99.495,106.778,56.683,111.811,107.069,100.083,68.033,113.945,106.938,111.208,76.684
1336598030,120.78,8956814,5720594,8555968,6107179,42253491950516.0,65283995631790.0,32710927177535.0,2.675011892035e+26,5234.0,1.909,8.819,8.893,8.622,1285489070,1196080603,633083834,1286542649,1202306887,1117478893,759152350,1297607589,1241470782,1149800146,857556712,2.724,1.024,160875,57047,55901,53685,56714,56225,58773,45985,48196,50671,0.374,19.769,19.764,68147,116.203,106.029,108.645,57.836,116.296,108.897,101.418,69.192,117.284,112.259,112.112,78.093
1492314913,134.8,8965555,5792104,8651635,6193238,42842329461695.0,66068339192692.0,33081366474090.0,2.7359420194826e+26,5282.0,1.92,8.782,8.893,8.626,1361631736,1220593223,647652576,1389428781,1240974624,1141661862,775265813,1401020511,1321497918,1193104913,876440912,2.637,1.047,161527,57581,56479,53931,57218,56424,59377,46269,48530,51053,0.378,19.781,19.78,68612,123.038,114.181,110.834,59.145,125.548,112.351,103.572,70.634,126.582,119.452,113.799,79.784
1547569552,139.74,8969925,5862042,8734910,6277830,43396241944841.0,66620844512749.0,33302829454661.0,2.7726961242155e+26,5347.0,1.93,8.744,8.882,8.619,1458827498,1246005456,662848016,1468499167,1281853948,1167849455,792239522,1493989419,1392699310,1248287020,896219307,2.549,1.07,161655,58031,56861,54117,57529,56565,59844,46554,48841,51414,0.383,19.794,19.797,69070,131.773,120.618,113.102,60.511,132.644,116.003,105.905,72.153,134.933,125.841,115.664,81.556
1472883529,132.945,8972111,5930443,8805791,6360955,44044234458725.0,67631024256869.0,33788171611319.0,2.8541013520898e+26,5391.0,1.937,8.658,8.872,8.613,1504255998,1266168283,677172306,1470691348,1307324559,1187529073,807198731,1501017434,1427313814,1290839661,914022285,2.451,1.091,161716,58098,56747,54138,57339,56542,60101,46770,49051,51674,0.388,19.808,19.814,69420,135.828,124.368,114.892,61.797,132.794,118.262,107.65,73.489,135.519,128.923,116.944,83.147
1399986806,126.316,8973203,5997341,8864278,6442615,44602209930364.0,68168272441535.0,34019506425942.0,2.8933170436618e+26,5430.0,1.944,8.722,8.892,8.638,1473479962,1281513098,690671853,1435339077,1319679525,1201236023,820227040,1448882838,1433212920,1319349489,929908318,2.337,1.111,161550,57545,55939,53920,56444,56280,59765,46851,48988,51662,0.391,19.816,19.826,69739,133.0,126.058,116.244,63.009,129.555,119.336,108.854,74.65,130.763,129.41,117.681,84.565
1375272701,124.045,8973750,6062769,8910373,6522807,45142943540579.0,68547304609908.0,34142445646268.0,2.9142664867709e+26,5484.0,1.947,8.717,8.875,8.626,1416047678,1295714452,703845028,1405305889,1327091948,1212464196,832425846,1399779207,1428130309,1341567894,944954491,2.207,1.128,161034,56866,55020,53652,55422,55964,59360,46937,48907,51627,0.395,19.824,19.838,70448,127.768,127.451,117.492,64.19,126.8,119.964,109.834,75.736,126.285,128.907,118.185,85.907
1448081487,130.56,8974023,6126759,8944074,6601533,45772028439110.0,69408381420281.0,34527245892562.0,2.9803267723135e+26,5528.0,1.95,8.716,8.862,8.617,1407780331,1312014554,717728148,1426693688,1343223887,1227665312,845956739,1415796111,1437271831,1370045335,961311336,2.103,1.144,160925,56618,54800,53607,55082,55869,59450,47115,49028,51792,0.398,19.829,19.847,70796,126.974,129.884,118.929,65.435,128.68,121.376,111.171,76.94,127.681,129.684,119.028,87.366
1491972429,134.465,9414219,6208685,9082731,6698136,46401006908701.0,70243171520285.0,34883607116122.0,3.04216511358e+26,5563.0,1.952,8.754,8.88,8.64,1438442206,1329181605,732046276,1459333058,1363057026,1244717384,860154886,1457892160,1450525402,1399737744,978327694,1.997,1.159,161526,56739,54326,53472,54491,55683,59611,47251,48924,51730,0.4,19.835,19.857,71156,129.69,131.839,120.443,66.718,131.572,123.122,112.674,78.205,131.426,130.829,120.03,88.883
1383671584,124.662,9745256,6293687,9230196,6797933,46947728528847.0,70748946853793.0,35118213317115.0,3.083222266466e+26,5592.0,1.951,8.829,8.894,8.659,1441241833,1340653418,745071692,1421502321,1365805634,1253682171,871660747,1430506849,1431154676,1408669898,992649129,1.892,1.172,162035,56826,54380,53509,54390,55665,59787,47464,49038,51881,0.402,19.842,19.868,71553,129.895,130.39,121.441,67.884,128.117,123.327,113.447,79.226,128.912,129.035,120.302,90.156
1232994860,111.049,9910774,6376822,9358252,6895995,47454258894983.0,70948420726995.0,35153205395495.0,3.0893696239446e+26,5618.0,1.949,8.922,8.935,8.704,1369546291,1342316531,756362281,1327248591,1348097530,1252347506,879602157,1326383363,1377994888,1392509346,1003372715,1.776,1.184,162232,56566,54439,53548,54291,55648,59456,47527,49111,51988,0.404,19.85,19.88,71748,123.392,126.292,121.551,68.893,119.583,121.69,113.293,79.925,119.489,124.2,119.632,91.105
1140571980,102.694,9993534,6458129,9475812,6992321,47973131803795.0,71131145383649.0,35127864617146.0,3.0849171814013e+26,5638.0,1.945,8.999,8.97,8.744,1252412808,1336395934,766648132,1233910285,1320427457,1245136181,885337757,1211896207,1312964190,1362244257,1011816884,1.65,1.193,162497,56150,54235,53498,53950,55544,58789,47627,49112,52024,0.406,19.858,19.892,72040,112.802,121.97,120.974,69.812,111.139,119.157,112.609,80.426,109.14,118.3,118.415,91.848
1166984989,105.04,10034913,6537649,9582877,7086912,48539402630576.0,71550635345564.0,35186544126973.0,3.0952322189986e+26,5657.0,1.939,8.989,8.972,8.752,1180183943,1330034602,777227265,1200447637,1299968461,1240094169,891527806,1169182298,1266405014,1335868118,1020615497,1.512,1.2,162593,55595,53969,53424,53559,55415,57783,47638,48946,51891,0.406,19.866,19.903,72179,106.261,118.931,120.357,70.757,108.089,117.275,112.12,80.967,105.259,114.068,117.387,92.622
1261023174,113.464,10055603,6615421,9679447,7179767,49081214335239.0,71977425369199.0,35322798225669.0,3.1192501862284e+26,5691.0,1.931,8.976,8.966,8.753,1189526714,1324922307,788838779,1230735405,1294775756,1241444427,899648583,1209601913,1251676878,1322968617,1031248374,1.371,1.205,162583,55227,53723,53352,53209,55290,56937,47689,48836,51809,0.407,19.872,19.914,72343,107.066,117.419,119.85,71.794,110.776,116.767,112.207,81.681,108.861,112.701,116.942,93.561
1256388032,113.005,10065948,6691484,9765522,7270886,49753357264405.0,73103776737232.0,35879690392555.0,3.2183804566639e+26,5717.0,1.922,8.971,8.96,8.752,1228132065,1317640987,800398114,1243561719,1289657393,1242408531,907489011,1243032572,1239870297,1309478371,1041524181,1.233,1.208,162822,55281,53688,53348,53077,55233,56869,47744,48862,51861,0.407,19.877,19.922,72624,110.503,114.911,119.147,72.826,111.89,116.265,112.259,82.369,111.83,111.597,116.501,94.466
1227611214,110.375,10071120,6765876,9841102,7360306,50408030884870.0,73991749965079.0,36216930737343.0,3.2791651800837e+26,5745.0,1.912,8.964,8.951,8.749,1248340807,1306460924,811593671,1235586467,1281384569,1241453865,914524664,1242772147,1227715706,1292147351,1050913480,1.1,1.21,163285,55054,53874,53419,53160,55250,57084,47957,49062,52085,0.407,19.882,19.931,73240,112.281,111.47,118.09,73.825,111.133,115.48,112.137,82.985,111.766,110.463,115.935,95.292
1219390646,109.595,10073707,6838632,9906186,7448065,51090435087526.0,74917149344126.0,36518792723039.0,3.3340555548707e+26,5767.0,1.901,8.945,8.946,8.749,1234463297,1287107634,822608258,1227488556,1273118713,1240030432,921225015,1228297066,1222947445,1274758225,1059876051,0.972,1.211,163049,54679,53641,53350,52851,55125,56715,48107,49208,52255,0.407,19.888,19.94,73731,110.991,109.317,116.291,74.807,110.364,114.695,111.973,83.57,110.423,109.994,115.387,96.078
1206769938,108.42,10075000,6909789,9960775,7534163,51738449385318.0,75634851060754.0,36690340313702.0,3.3654526808381e+26,5789.0,1.889,8.965,8.943,8.751,1217923933,1255629871,833389111,1217129247,1264272210,1237884593,927500728,1214450387,1220891183,1258285617,1068319165,0.842,1.21,163146,54672,54478,53641,53621,55362,56122,48266,49376,52448,0.407,19.893,19.949,73972,109.463,108.942,113.392,75.767,109.392,113.858,111.744,84.116,109.137,109.77,114.879,96.817
1230814260,110.54,10075646,6979383,10004869,7618600,52404632625134.0,76353805049877.0,36803716543187.0,3.3862838784782e+26,5815.0,1.877,8.993,8.93,8.744,1218991615,1231127991,844340285,1223971754,1259811150,1237428443,934166959,1220895551,1225782606,1248264629,1077053784,0.715,1.208,163271,54806,55332,53950,54462,55621,55201,48458,49525,52621,0.407,19.897,19.956,74283,109.518,110.062,111.126,76.742,109.966,113.416,111.666,84.696,109.675,110.17,114.695,97.581
1253155261,112.503,10075970,7047447,10038468,7701376,53096825051039.0,77297832716414.0,37077247500925.0,3.436805705612e+26,5839.0,1.863,8.956,8.908,8.728,1230246487,1230663833,855483131,1238563507,1258923698,1238443076,941177691,1237977374,1233036341,1243527863,1086038728,0.588,1.204,163678,54972,56486,54374,55650,56000,54459,48594,49624,52744,0.407,19.9,19.962,74542,110.487,111.128,111.043,77.734,111.234,113.294,111.72,85.308,111.168,110.78,114.784,98.367
